subid,gender,age,language,trial.num,context.condition,item,trial.type,response,coding
p1,F,55,English,1,3,cars,item,2 cars,noun
p1,F,55,English,2,1,daisies,item,two flowers,noun
p1,F,55,English,3,3,lollipops,item,some lollipops,noun
p1,F,55,English,4,0,phones,item,2 phones,noun
p1,F,55,English,5,1,bows,nothing,a yellow dress,color
p1,F,55,English,6,3,keys,nothing,no keys,no
p1,F,55,English,7,0,forks,nothing,a blue shirt,color
p1,F,55,English,8,2,dogs,nothing,two shoes,clothing
p1,F,55,English,9,2,cakes,nothing,a big smile,body
p1,F,55,English,10,1,umbrellas,item,two umbrellas,noun
p1,F,55,English,11,0,donuts,item,two doughnuts,noun
p1,F,55,English,12,3,shovels,nothing,no shovels,no
p1,F,55,English,13,2,flowers,item,blonde hair,color
p1,F,55,English,14,0,crayons,item,two crayons,noun
p1,F,55,English,15,3,bananas,nothing,no bananas,no
p1,F,55,English,16,0,presents,nothing,a yellow shirt,color
p1,F,55,English,17,0,carrots,nothing,a hoe,othernoun
p1,F,55,English,18,0,apples,nothing,a blue shirt,color
p1,F,55,English,19,1,plants,nothing,spikey hair,body
p1,F,55,English,20,2,buckets,nothing,a dress on,clothing
p1,F,55,English,21,3,rainboots,nothing,a green dress on,color
p1,F,55,English,22,3,mittens,item,gloves on,noun
p1,F,55,English,23,2,guitars,item,two guitars,noun
p1,F,55,English,24,1,scissors,nothing,a green shirt,color
p1,F,55,English,25,1,balloons,item,two balloons,noun
p1,F,55,English,26,1,pencils,nothing,blonde hair,color
p1,F,55,English,27,1,cats,item,two cats,noun
p1,F,55,English,28,2,fish,item,two fish,noun
p1,F,55,English,29,2,kites,item,two kites,noun
p1,F,55,English,30,2,purses,nothing,a skirt on,clothing
p1,F,55,English,31,3,ice cream cones,item,two ice cream cones,noun
p1,F,55,English,32,0,cookies,item,two cookies,noun
p10,F,35,English,1,1,dogs,nothing,a green shirt,color
p10,F,35,English,2,3,plants,nothing,orange hair,color
p10,F,35,English,3,2,carrots,nothing,a red shirt,color
p10,F,35,English,4,1,pencils,item,a maroon shirt,color
p10,F,35,English,5,3,cats,item,blonde hair,color
p10,F,35,English,6,2,cakes,nothing,a purple shirt,color
p10,F,35,English,7,3,mittens,item,a purple dress,color
p10,F,35,English,8,3,fish,item,a light blue shirt,color
p10,F,35,English,9,2,crayons,item,a red shirt,color
p10,F,35,English,10,2,presents,item,a yellow shirt,color
p10,F,35,English,11,0,guitars,item,2 guitars,noun
p10,F,35,English,12,0,apples,nothing,a blue shirt,color
p10,F,35,English,13,0,bananas,nothing,a red shirt,color
p10,F,35,English,14,3,keys,item,a red shirt,color
p10,F,35,English,15,1,flowers,nothing,an orange shirt,color
p10,F,35,English,16,3,balloons,nothing,no balloons,no
p10,F,35,English,17,0,umbrellas,item,2 umbrellas,noun
p10,F,35,English,18,1,rainboots,nothing,a light green dress,color
p10,F,35,English,19,3,scissors,nothing,no scissors,no
p10,F,35,English,20,2,phones,item,a pink shirt,color
p10,F,35,English,21,1,kites,item,blonde hair,color
p10,F,35,English,22,0,cookies,item,2 cookies,noun
p10,F,35,English,23,3,forks,nothing,no forks,no
p10,F,35,English,24,1,ice cream cones,item,an orange shirt,color
p10,F,35,English,25,2,donuts,item,a purple shirt,color
p10,F,35,English,26,2,buckets,nothing,a pink dress,color
p10,F,35,English,27,1,lollipops,item,a blue shirt,color
p10,F,35,English,28,2,bows,nothing,a yellow dress,color
p10,F,35,English,29,0,daisies,nothing,an orange shirt,color
p10,F,35,English,30,0,cars,nothing,a green shirt,color
p10,F,35,English,31,1,shovels,nothing,a yellow shirt,color
p10,F,35,English,32,0,purses,item,2 purses,noun
p100,M,35,English,1,3,cats,item,a green dress,color
p100,M,35,English,2,0,donuts,item,two donuts,noun
p100,M,35,English,3,2,scissors,item,a green shirt,color
p100,M,35,English,4,2,umbrellas,item,a red shirt,color
p100,M,35,English,5,1,mittens,item,a purple dress,color
p100,M,35,English,6,2,balloons,item,a green shirt,color
p100,M,35,English,7,0,carrots,nothing,a pink headband,color
p100,M,35,English,8,0,dogs,nothing,a green shirt,color
p100,M,35,English,9,0,bows,item,a yellow dress,color
