"","X","subid","gender","age","language","trial.num","context.condition","item","response","correct","rt","text.condition","image.condition"
"1",1,279,"M",35,"English",1,0,"kites",TRUE,1,765,"positive","item"
"2",10,279,"M",35,"English",10,1,"cars",FALSE,1,541,"negative","item"
"3",100,117,"M",25,"English",4,0,"umbrellas",FALSE,1,829,"positive","nothing"
"4",1000,190,"F",55,"English",8,3,"phones",TRUE,1,803,"positive","item"
"5",1001,190,"F",55,"English",9,3,"scissors",TRUE,1,973,"negative","nothing"
"6",1002,190,"F",55,"English",10,0,"keys",TRUE,1,854,"positive","item"
"7",1003,190,"F",55,"English",11,3,"daisies",FALSE,1,1444,"positive","nothing"
"8",1004,190,"F",55,"English",12,0,"fish",TRUE,1,869,"positive","item"
"9",1005,190,"F",55,"English",13,0,"carrots",FALSE,1,1501,"negative","item"
"10",1006,190,"F",55,"English",14,1,"rainboots",FALSE,1,972,"positive","nothing"
"11",1007,190,"F",55,"English",15,1,"bows",FALSE,1,924,"negative","item"
"12",1008,190,"F",55,"English",16,2,"cakes",TRUE,1,1085,"negative","nothing"
"13",1009,190,"F",55,"English",17,1,"buckets",TRUE,1,1165,"negative","nothing"
"14",101,117,"M",25,"English",5,3,"lollipops",FALSE,1,617,"negative","item"
"15",1010,190,"F",55,"English",18,2,"ice cream cones",FALSE,1,1612,"positive","nothing"
"16",1011,190,"F",55,"English",19,1,"guitars",TRUE,1,630,"positive","item"
"17",1012,190,"F",55,"English",20,2,"crayons",TRUE,1,1293,"negative","nothing"
"18",1013,190,"F",55,"English",21,1,"plants",FALSE,1,1077,"positive","nothing"
"19",1014,190,"F",55,"English",22,2,"apples",TRUE,1,1611,"positive","item"
"20",1015,190,"F",55,"English",23,1,"flowers",TRUE,1,1570,"positive","item"
"21",1016,190,"F",55,"English",24,3,"balloons",FALSE,1,1037,"positive","nothing"
"22",1017,190,"F",55,"English",25,3,"dogs",FALSE,1,772,"negative","item"
"23",1018,190,"F",55,"English",26,0,"forks",TRUE,1,1087,"negative","nothing"
"24",1019,190,"F",55,"English",27,3,"cookies",TRUE,1,723,"positive","item"
"25",102,117,"M",25,"English",6,1,"keys",FALSE,1,609,"positive","nothing"
"26",1020,190,"F",55,"English",28,3,"kites",FALSE,1,1403,"negative","item"
"27",1021,190,"F",55,"English",29,1,"purses",TRUE,1,1062,"negative","nothing"
"28",1022,190,"F",55,"English",30,1,"shovels",FALSE,1,939,"negative","item"
"29",1023,190,"F",55,"English",31,2,"umbrellas",TRUE,1,1115,"positive","item"
"30",1024,190,"F",55,"English",32,2,"mittens",FALSE,1,958,"negative","item"
"31",1025,179,"F",55,"English",1,1,"dogs",TRUE,1,1281,"positive","item"
"32",1026,179,"F",55,"English",2,2,"cats",TRUE,1,952,"positive","item"
"33",1027,179,"F",55,"English",3,3,"umbrellas",FALSE,1,1896,"negative","item"
"34",1028,179,"F",55,"English",4,2,"daisies",FALSE,1,1186,"negative","item"
"35",1029,179,"F",55,"English",5,1,"balloons",TRUE,1,1293,"negative","nothing"
"36",103,117,"M",25,"English",7,2,"cookies",TRUE,1,565,"positive","item"
"37",1030,179,"F",55,"English",6,0,"presents",FALSE,1,1576,"positive","nothing"
"38",1031,179,"F",55,"English",7,2,"shovels",TRUE,1,934,"positive","item"
"39",1032,179,"F",55,"English",8,3,"keys",FALSE,1,935,"positive","nothing"
"40",1033,179,"F",55,"English",9,2,"buckets",FALSE,1,1348,"positive","nothing"
"41",1034,179,"F",55,"English",10,3,"mittens",TRUE,1,1123,"positive","item"
"42",1035,179,"F",55,"English",11,0,"apples",TRUE,1,690,"positive","item"
"43",1036,179,"F",55,"English",12,0,"bows",FALSE,1,1508,"positive","nothing"
"44",1037,179,"F",55,"English",13,3,"fish",FALSE,1,1663,"negative","item"
"45",1038,179,"F",55,"English",14,3,"pencils",TRUE,1,1802,"negative","nothing"
"46",1039,179,"F",55,"English",15,1,"ice cream cones",FALSE,1,1662,"positive","nothing"
"47",104,117,"M",25,"English",8,0,"donuts",TRUE,1,1029,"negative","nothing"
"48",1040,179,"F",55,"English",16,2,"cakes",FALSE,1,1486,"positive","nothing"
"49",1041,179,"F",55,"English",17,1,"lollipops",FALSE,1,1451,"negative","item"
"50",1042,179,"F",55,"English",18,2,"donuts",TRUE,1,2308,"negative","nothing"
"51",1043,179,"F",55,"English",19,1,"guitars",FALSE,1,1396,"negative","item"
"52",1044,179,"F",55,"English",20,3,"purses",TRUE,1,2169,"positive","item"
"53",1045,179,"F",55,"English",21,0,"flowers",FALSE,1,1092,"negative","item"
"54",1046,179,"F",55,"English",22,0,"kites",TRUE,1,1536,"negative","nothing"
"55",1047,179,"F",55,"English",23,0,"plants",FALSE,1,1094,"negative","item"
"56",1048,179,"F",55,"English",24,0,"cookies",TRUE,1,1210,"negative","nothing"
"57",1049,179,"F",55,"English",25,0,"bananas",TRUE,1,916,"positive","item"
"58",105,117,"M",25,"English",9,2,"carrots",TRUE,1,610,"positive","item"
"59",1050,179,"F",55,"English",26,3,"crayons",TRUE,1,1588,"negative","nothing"
"60",1051,179,"F",55,"English",27,2,"scissors",TRUE,1,1505,"negative","nothing"
"61",1052,179,"F",55,"English",28,3,"cars",FALSE,1,1448,"positive","nothing"
"62",1053,179,"F",55,"English",29,1,"carrots",TRUE,1,1081,"positive","item"
"63",1054,179,"F",55,"English",30,1,"rainboots",FALSE,1,1025,"positive","nothing"
"64",1055,179,"F",55,"English",31,2,"forks",FALSE,1,1266,"negative","item"
"65",1056,179,"F",55,"English",32,1,"phones",TRUE,1,1851,"negative","nothing"
"66",1057,119,"F",45,"english",1,0,"buckets",FALSE,1,1099,"negative","item"
"67",1058,119,"F",45,"english",2,2,"apples",TRUE,0,590,"positive","nothing"
"68",1059,119,"F",45,"english",3,3,"presents",TRUE,1,525,"positive","item"
"69",106,117,"M",25,"English",10,3,"purses",TRUE,1,568,"positive","item"
"70",1060,119,"F",45,"english",4,3,"bananas",FALSE,0,541,"negative","nothing"
"71",1061,119,"F",45,"english",5,3,"balloons",FALSE,1,1046,"positive","nothing"
"72",1062,119,"F",45,"english",6,0,"guitars",TRUE,0,2289,"positive","nothing"
"73",1063,119,"F",45,"english",7,2,"cats",TRUE,1,680,"positive","item"
"74",1064,119,"F",45,"english",8,3,"plants",TRUE,1,566,"positive","item"
"75",1065,119,"F",45,"english",9,0,"forks",FALSE,1,824,"negative","item"
"76",1066,119,"F",45,"english",10,1,"ice cream cones",FALSE,1,1179,"positive","nothing"
"77",1067,119,"F",45,"english",11,1,"mittens",FALSE,1,697,"positive","nothing"
"78",1068,119,"F",45,"english",12,1,"cookies",FALSE,1,1075,"negative","item"
"79",1069,119,"F",45,"english",13,2,"purses",FALSE,1,877,"negative","item"
"80",107,117,"M",25,"English",11,0,"kites",FALSE,1,539,"negative","item"
"81",1070,119,"F",45,"english",14,1,"umbrellas",FALSE,1,891,"negative","item"
"82",1071,119,"F",45,"english",15,0,"crayons",FALSE,1,894,"positive","nothing"
