"","subid","gender","age","language","trial.num","context.condition","item","trial.type","response","coding"
"1",2,"M",45,"English",1,2,"fish","nothing","no fish.","no"
"2",2,"M",45,"English",2,0,"cookies","nothing","a tray.","othernoun"
"3",2,"M",45,"English",3,2,"plants","item","two plants","noun"
"4",2,"M",45,"English",4,2,"daisies","nothing","no flowers","no"
"5",2,"M",45,"English",5,3,"ice cream cones","nothing","no ice cream cone","no"
"6",2,"M",45,"English",6,2,"cakes","nothing","no cake","no"
"7",2,"M",45,"English",7,0,"phones","item","two cellphones","noun"
"8",2,"M",45,"English",8,3,"bananas","nothing","no bananas","no"
"9",2,"M",45,"English",9,2,"bows","item","two bows","noun"
"10",2,"M",45,"English",10,3,"carrots","item","two carrots","noun"
"11",2,"M",45,"English",11,1,"rainboots","item","rain boots","noun"
"12",2,"M",45,"English",12,0,"dogs","item","two dogs","noun"
"13",2,"M",45,"English",13,3,"umbrellas","item","two umbrellas","noun"
"14",2,"M",45,"English",14,0,"scissors","nothing","two hands","body"
"15",2,"M",45,"English",15,3,"shovels","item","two shovels","noun"
"16",2,"M",45,"English",16,0,"apples","item","two apples","noun"
"17",2,"M",45,"English",17,0,"kites","nothing","a green shirt","clothing"
"18",2,"M",45,"English",18,2,"presents","item","two presents","noun"
"19",2,"M",45,"English",19,2,"lollipops","item","two lollipops","noun"
"20",2,"M",45,"English",20,1,"crayons","item","two blue crayons","noun"
"21",2,"M",45,"English",21,1,"balloons","nothing","no balloons","no"
"22",2,"M",45,"English",22,1,"keys","nothing","nothing in his hand","nothing"
"23",2,"M",45,"English",23,3,"pencils","item","two pencils","noun"
"24",2,"M",45,"English",24,2,"mittens","nothing","a purple dress","clothing"
"25",2,"M",45,"English",25,3,"flowers","nothing","an empty basket","empty"
"26",2,"M",45,"English",26,1,"donuts","item","two donuts","noun"
"27",2,"M",45,"English",27,3,"cars","nothing","a green shirt","clothing"
"28",2,"M",45,"English",28,0,"cats","item","two cats","noun"
"29",2,"M",45,"English",29,0,"forks","nothing","a blue shirt","clothing"
"30",2,"M",45,"English",30,1,"purses","nothing","a purple blouse","clothing"
"31",2,"M",45,"English",31,1,"guitars","nothing","a green shirt","clothing"
"32",2,"M",45,"English",32,1,"buckets","item","two pails","noun"
"33",3,"F",55,"English",1,0,"donuts","item","2 donuts","noun"
"34",3,"F",55,"English",2,1,"mittens","nothing","on a purple dress","clothing"
"35",3,"F",55,"English",3,3,"shovels","item","two shovels","noun"
"36",3,"F",55,"English",4,0,"daisies","nothing","on an orange shirt","clothing"
"37",3,"F",55,"English",5,1,"apples","item","two apples","noun"
"38",3,"F",55,"English",6,3,"keys","item","a set of keys","noun"
"39",3,"F",55,"English",7,2,"scissors","nothing","a nice smile","other"
"40",3,"F",55,"English",8,3,"umbrellas","nothing","many friends","other"
"41",3,"F",55,"English",9,2,"balloons","item","two green ballons","noun"
"42",3,"F",55,"English",10,1,"plants","nothing","red hair","body"
"43",3,"F",55,"English",11,1,"ice cream cones","nothing","new shoes","clothing"
"44",3,"F",55,"English",12,2,"carrots","item","a lovely garden","other"
"45",3,"F",55,"English",13,0,"crayons","nothing","long hair","body"
"46",3,"F",55,"English",14,1,"dogs","item","two dogs","noun"
"47",3,"F",55,"English",15,3,"lollipops","nothing","a blue shirt on","clothing"
"48",3,"F",55,"English",16,1,"cars","nothing","no toys to play with","no"
"49",3,"F",55,"English",17,3,"forks","item","two forks","noun"
"50",3,"F",55,"English",18,0,"fish","item","had a great day fishing","other"
"51",3,"F",55,"English",19,2,"buckets","item","lots of water for the dishes","other"
"52",3,"F",55,"English",20,3,"bananas","nothing","blonde hair","body"
"53",3,"F",55,"English",21,3,"purses","item","been shopping","other"
"54",3,"F",55,"English",22,0,"guitars","nothing","short hair","body"
"55",3,"F",55,"English",23,2,"cats","nothing","a blue dress","clothing"
"56",3,"F",55,"English",24,0,"phones","item","walkie talkies","noun"
"57",3,"F",55,"English",25,0,"pencils","item","new pencils","noun"
"58",3,"F",55,"English",26,2,"kites","nothing","nothing to play with","nothing"
"59",3,"F",55,"English",27,2,"presents","nothing","nice posture","other"
"60",3,"F",55,"English",28,1,"rainboots","item","blue rain boots","noun"
"61",3,"F",55,"English",29,0,"bows","nothing","pigtails in her hair","body"
"62",3,"F",55,"English",30,3,"flowers","nothing","an empty basket","empty"
"63",3,"F",55,"English",31,2,"cakes","item","many candles to blow out","other"
"64",3,"F",55,"English",32,1,"cookies","item","baked some cookies","other"
"65",4,"F",25,"english",1,0,"cats","nothing","boots","noun"
"66",4,"F",25,"english",2,1,"cars","nothing","hair","body"
"67",4,"F",25,"english",3,0,"apples","item","apples","noun"
"68",4,"F",25,"english",4,0,"rainboots","nothing","a dress","clothing"
"69",4,"F",25,"english",5,0,"cakes","nothing","a shirt","clothing"
"70",4,"F",25,"english",6,2,"lollipops","nothing","shorts","clothing"
"71",4,"F",25,"english",7,1,"ice cream cones","item","icecream","noun"
"72",4,"F",25,"english",8,2,"umbrellas","item","umbrellas","noun"
"73",4,"F",25,"english",9,3,"guitars","item","guitars","noun"
"74",4,"F",25,"english",10,1,"fish","item","some fish","noun"
"75",4,"F",25,"english",11,2,"presents","nothing","a chair","othernoun"
"76",4,"F",25,"english",12,1,"daisies","nothing","an orange shirt","clothing"
"77",4,"F",25,"english",13,2,"plants","item","plants","noun"
"78",4,"F",25,"english",14,1,"cookies","item","cookies","noun"
"79",4,"F",25,"english",15,0,"scissors","item","scissors","noun"
"80",4,"F",25,"english",16,0,"mittens","nothing","brown hair","body"
"81",4,"F",25,"english",17,3,"flowers","nothing","a shovel","othernoun"
"82",4,"F",25,"english",18,2,"phones","item","two cell phones","noun"
"83",4,"F",25,"english",19,3,"carrots","nothing","a basket","othernoun"
"84",4,"F",25,"english",20,0,"pencils","item","pencils","noun"
"85",4,"F",25,"english",21,1,"kites","nothing","nothing","nothing"
"86",4,"F",25,"english",22,2,"buckets","nothing","a pink dress","clothing"
"87",4,"F",25,"english",23,3,"balloons","nothing","nothing","nothing"
"88",4,"F",25,"english",24,3,"bananas","item","bananas","noun"
"89",4,"F",25,"english",25,3,"donuts","nothing","nothing","nothing"
"90",4,"F",25,"english",26,1,"keys","nothing","nothing","nothing"
"91",4,"F",25,"english",27,3,"forks","item","forks","noun"
"92",4,"F",25,"english",28,3,"purses","item","purses","noun"
"93",4,"F",25,"english",29,2,"shovels","item","two shovels","noun"
"94",4,"F",25,"english",30,1,"bows","item","bows","noun"
"95",4,"F",25,"english",31,2,"crayons","nothing","nothing","nothing"
"96",4,"F",25,"english",32,0,"dogs","item","dogs","noun"
"97",5,"F",25,"English",1,2,"flowers","item","a shovel.","othernoun"
"98",5,"F",25,"English",2,2,"balloons","nothing","grey shoes.","clothing"
"99",5,"F",25,"English",3,0,"cars","item","black hair.","body"
"100",5,"F",25,"English",4,0,"buckets","nothing","blonde hair.","body"
"101",5,"F",25,"English",5,0,"scissors","nothing","brown hair.","body"
"102",5,"F",25,"English",6,3,"bows","nothing","a smile.","other"
"103",5,"F",25,"English",7,3,"ice cream cones","item","two cones.","noun"
"104",5,"F",25,"English",8,3,"pencils","item","two pencils.","noun"
"105",5,"F",25,"English",9,0,"cakes","item","two cakes.","noun"
"106",5,"F",25,"English",10,1,"guitars","nothing","spikey hair.","noun"
"107",5,"F",25,"English",11,3,"carrots","item","two carrots.","noun"
"108",5,"F",25,"English",12,3,"plants","nothing","orange hair.","body"
"109",5,"F",25,"English",13,1,"shovels","item","two shovels.","noun"
"110",5,"F",25,"English",14,1,"cats","item","two cats.","noun"
"111",5,"F",25,"English",15,1,"purses","nothing","black shoes.","clothing"
"112",5,"F",25,"English",16,2,"kites","item","two kites.","noun"
"113",5,"F",25,"English",17,0,"bananas","item","two bananas.","noun"
"114",5,"F",25,"English",18,0,"rainboots","item","blue shoes","noun"
"115",5,"F",25,"English",19,1,"lollipops","nothing","two hands","body"
"116",5,"F",25,"English",20,0,"dogs","nothing","two shoes.","clothing"
"117",5,"F",25,"English",21,1,"keys","item","two keys.","noun"
"118",5,"F",25,"English",22,3,"apples","nothing","no apples.","no"
"119",5,"F",25,"English",23,2,"forks","nothing","no forks.","no"
"120",5,"F",25,"English",24,2,"crayons","nothing","a red shirt","clothing"
"121",5,"F",25,"English",25,1,"phones","nothing","a pink shirt","clothing"
"122",5,"F",25,"English",26,0,"umbrellas","nothing","black eyes","body"
"123",5,"F",25,"English",27,3,"presents","item","two presents","noun"
"124",5,"F",25,"English",28,2,"cookies","item","two cookies","noun"
"125",5,"F",25,"English",29,2,"daisies","nothing","an orange shirt.","clothing"
"126",5,"F",25,"English",30,1,"fish","item","two fish","noun"
"127",5,"F",25,"English",31,2,"mittens","item","two gloves","noun"
"128",5,"F",25,"English",32,3,"donuts","nothing","no donuts","no"
"129",6,"M",35,"English",1,2,"donuts","item","two donuts","noun"
"130",6,"M",35,"English",2,3,"umbrellas","nothing","no umbrella","no"
"131",6,"M",35,"English",3,3,"pencils","item","two pencils","noun"
"132",6,"M",35,"English",4,1,"dogs","nothing","no dogs","no"
"133",6,"M",35,"English",5,1,"buckets","item","two pails","noun"
"134",6,"M",35,"English",6,0,"rainboots","nothing","no shoes","no"
"135",6,"M",35,"English",7,3,"cats","item","two cats","noun"
"136",6,"M",35,"English",8,0,"daisies","item","two flowers","noun"
"137",6,"M",35,"English",9,2,"cookies","item","two cookies","noun"
"138",6,"M",35,"English",10,2,"kites","nothing","no kites","no"
"139",6,"M",35,"English",11,2,"carrots","item","two carrots","noun"
"140",6,"M",35,"English",12,2,"mittens","nothing","no gloves","no"
"141",6,"M",35,"English",13,0,"guitars","item","two guitars","noun"
"142",6,"M",35,"English",14,1,"keys","item","two keys","noun"
"143",6,"M",35,"English",15,3,"fish","nothing","no fish or rod","no"
"144",6,"M",35,"English",16,3,"ice cream cones","nothing","no icecream","no"
