,subid,gender,age,language,trial.num,context.condition,item,response,correct,rt,text.condition,image.condition
5633,c100,Decline,25,English,1,0,keys,FALSE,0,2584,negative,nothing
5634,c100,Decline,25,English,2,0,forks,TRUE,1,1769,negative,nothing
5635,c100,Decline,25,English,3,3,cars,TRUE,1,1835,positive,item
5636,c100,Decline,25,English,4,2,ice cream cones,FALSE,1,1112,positive,nothing
5637,c100,Decline,25,English,5,0,lollipops,TRUE,1,881,positive,item
5638,c100,Decline,25,English,6,3,pencils,FALSE,1,2185,positive,nothing
5639,c100,Decline,25,English,7,3,crayons,TRUE,1,3283,negative,nothing
5640,c100,Decline,25,English,8,0,donuts,TRUE,0,778,positive,nothing
5641,c100,Decline,25,English,9,3,rainboots,FALSE,1,777,positive,nothing
5642,c100,Decline,25,English,10,0,mittens,TRUE,0,851,negative,item
5643,c100,Decline,25,English,11,2,cookies,TRUE,1,571,positive,item
5644,c100,Decline,25,English,12,3,apples,FALSE,1,671,negative,item
5645,c100,Decline,25,English,13,1,kites,FALSE,1,841,negative,item
5646,c100,Decline,25,English,14,3,flowers,FALSE,0,1767,negative,nothing
5647,c100,Decline,25,English,15,2,umbrellas,FALSE,1,993,negative,item
5648,c100,Decline,25,English,16,1,daisies,TRUE,1,952,positive,item
5649,c100,Decline,25,English,17,3,cakes,TRUE,1,419,positive,item
5650,c100,Decline,25,English,18,2,balloons,TRUE,1,1984,negative,nothing
5651,c100,Decline,25,English,19,1,buckets,FALSE,1,5120,negative,item
5652,c100,Decline,25,English,20,2,cats,TRUE,1,1334,negative,nothing
5653,c100,Decline,25,English,21,2,fish,TRUE,0,1092,negative,item
5654,c100,Decline,25,English,22,2,bows,FALSE,1,2006,positive,nothing
5655,c100,Decline,25,English,23,1,presents,FALSE,0,1434,negative,nothing
5656,c100,Decline,25,English,24,1,shovels,FALSE,0,1354,negative,nothing
5657,c100,Decline,25,English,25,3,guitars,FALSE,1,3005,negative,item
5658,c100,Decline,25,English,26,2,phones,TRUE,1,878,positive,item
5659,c100,Decline,25,English,27,0,scissors,TRUE,1,843,positive,item
5660,c100,Decline,25,English,28,1,dogs,FALSE,1,1048,positive,nothing
5661,c100,Decline,25,English,29,1,carrots,FALSE,1,1511,positive,nothing
5662,c100,Decline,25,English,30,0,plants,FALSE,1,1297,negative,item
5663,c100,Decline,25,English,31,1,purses,TRUE,1,1191,positive,item
5664,c100,Decline,25,English,32,0,bananas,FALSE,1,2100,positive,nothing
65,c222,F,45,English,1,2,bananas,TRUE,1,2568,positive,item
66,c222,F,45,English,2,2,flowers,FALSE,1,3081,negative,item
67,c222,F,45,English,3,1,donuts,TRUE,1,1752,positive,item
68,c222,F,45,English,4,1,plants,FALSE,1,1414,positive,nothing
69,c222,F,45,English,5,0,shovels,FALSE,1,1849,positive,nothing
70,c222,F,45,English,6,0,kites,FALSE,1,1859,positive,nothing
71,c222,F,45,English,7,3,cars,FALSE,1,2022,negative,item
72,c222,F,45,English,8,3,fish,TRUE,1,971,positive,item
73,c222,F,45,English,9,3,mittens,FALSE,1,1437,negative,item
74,c222,F,45,English,10,3,lollipops,FALSE,1,1158,positive,nothing
75,c222,F,45,English,11,2,carrots,TRUE,1,1384,negative,nothing
76,c222,F,45,English,12,2,cakes,FALSE,1,1244,negative,item
77,c222,F,45,English,13,0,dogs,TRUE,1,1873,negative,nothing
78,c222,F,45,English,14,3,keys,FALSE,1,1091,positive,nothing
79,c222,F,45,English,15,2,apples,TRUE,1,1435,positive,item
80,c222,F,45,English,16,0,cookies,TRUE,1,1722,positive,item
81,c222,F,45,English,17,1,buckets,FALSE,0,1814,positive,item
82,c222,F,45,English,18,0,purses,FALSE,1,2027,negative,item
83,c222,F,45,English,19,3,balloons,TRUE,1,1335,negative,nothing
84,c222,F,45,English,20,0,pencils,TRUE,1,1224,positive,item
85,c222,F,45,English,21,2,bows,FALSE,1,2469,positive,nothing
86,c222,F,45,English,22,0,scissors,FALSE,1,1301,negative,item
87,c222,F,45,English,23,1,forks,TRUE,1,1610,negative,nothing
88,c222,F,45,English,24,0,guitars,TRUE,1,2241,negative,nothing
89,c222,F,45,English,25,2,phones,FALSE,1,1384,positive,nothing
