subid,gender,age,language,trial.num,context.condition,item,trial.type,response,coding,color
p1,F,55,English,1,3,cars,item,2 cars,noun,0
p1,F,55,English,2,1,daisies,item,two flowers,noun,0
p1,F,55,English,3,3,lollipops,item,some lollipops,noun,0
p1,F,55,English,4,0,phones,item,2 phones,noun,0
p1,F,55,English,5,1,bows,nothing,a yellow dress,color,1
p1,F,55,English,6,3,keys,nothing,no keys,no,0
p1,F,55,English,7,0,forks,nothing,a blue shirt,color,1
p1,F,55,English,8,2,dogs,nothing,two shoes,clothing,0
p1,F,55,English,9,2,cakes,nothing,a big smile,body,0
p1,F,55,English,10,1,umbrellas,item,two umbrellas,noun,0
p1,F,55,English,11,0,donuts,item,two doughnuts,noun,0
p1,F,55,English,12,3,shovels,nothing,no shovels,no,0
p1,F,55,English,13,2,flowers,item,blonde hair,color,1
p1,F,55,English,14,0,crayons,item,two crayons,noun,0
p1,F,55,English,15,3,bananas,nothing,no bananas,no,0
p1,F,55,English,16,0,presents,nothing,a yellow shirt,color,1
p1,F,55,English,17,0,carrots,nothing,a hoe,othernoun,0
p1,F,55,English,18,0,apples,nothing,a blue shirt,color,1
p1,F,55,English,19,1,plants,nothing,spikey hair,body,0
p1,F,55,English,20,2,buckets,nothing,a dress on,clothing,0
p1,F,55,English,21,3,rainboots,nothing,a green dress on,color,1
p1,F,55,English,22,3,mittens,item,gloves on,noun,0
p1,F,55,English,23,2,guitars,item,two guitars,noun,0
p1,F,55,English,24,1,scissors,nothing,a green shirt,color,1
p1,F,55,English,25,1,balloons,item,two balloons,noun,0
p1,F,55,English,26,1,pencils,nothing,blonde hair,color,1
p1,F,55,English,27,1,cats,item,two cats,noun,0
p1,F,55,English,28,2,fish,item,two fish,noun,0
p1,F,55,English,29,2,kites,item,two kites,noun,0
p1,F,55,English,30,2,purses,nothing,a skirt on,clothing,0
p1,F,55,English,31,3,ice cream cones,item,two ice cream cones,noun,0
p1,F,55,English,32,0,cookies,item,two cookies,noun,0
p10,F,35,English,1,1,dogs,nothing,a green shirt,color,1
p10,F,35,English,2,3,plants,nothing,orange hair,color,1
p10,F,35,English,3,2,carrots,nothing,a red shirt,color,1
p10,F,35,English,4,1,pencils,item,a maroon shirt,color,1
p10,F,35,English,5,3,cats,item,blonde hair,color,1
p10,F,35,English,6,2,cakes,nothing,a purple shirt,color,1
p10,F,35,English,7,3,mittens,item,a purple dress,color,1
p10,F,35,English,8,3,fish,item,a light blue shirt,color,1
p10,F,35,English,9,2,crayons,item,a red shirt,color,1
p10,F,35,English,10,2,presents,item,a yellow shirt,color,1
p10,F,35,English,11,0,guitars,item,2 guitars,noun,0
p10,F,35,English,12,0,apples,nothing,a blue shirt,color,1
p10,F,35,English,13,0,bananas,nothing,a red shirt,color,1
p10,F,35,English,14,3,keys,item,a red shirt,color,1
p10,F,35,English,15,1,flowers,nothing,an orange shirt,color,1
p10,F,35,English,16,3,balloons,nothing,no balloons,no,0
p10,F,35,English,17,0,umbrellas,item,2 umbrellas,noun,0
p10,F,35,English,18,1,rainboots,nothing,a light green dress,color,1
p10,F,35,English,19,3,scissors,nothing,no scissors,no,0
p10,F,35,English,20,2,phones,item,a pink shirt,color,1
p10,F,35,English,21,1,kites,item,blonde hair,color,1
p10,F,35,English,22,0,cookies,item,2 cookies,noun,0
p10,F,35,English,23,3,forks,nothing,no forks,no,0
p10,F,35,English,24,1,ice cream cones,item,an orange shirt,color,1
p10,F,35,English,25,2,donuts,item,a purple shirt,color,1
p10,F,35,English,26,2,buckets,nothing,a pink dress,color,1
p10,F,35,English,27,1,lollipops,item,a blue shirt,color,1
p10,F,35,English,28,2,bows,nothing,a yellow dress,color,1
p10,F,35,English,29,0,daisies,nothing,an orange shirt,color,1
p10,F,35,English,30,0,cars,nothing,a green shirt,color,1
p10,F,35,English,31,1,shovels,nothing,a yellow shirt,color,1
p10,F,35,English,32,0,purses,item,2 purses,noun,0
p100,M,35,English,1,3,cats,item,a green dress,color,1
p100,M,35,English,2,0,donuts,item,two donuts,noun,0
p100,M,35,English,3,2,scissors,item,a green shirt,color,1
p100,M,35,English,4,2,umbrellas,item,a red shirt,color,1
p100,M,35,English,5,1,mittens,item,a purple dress,color,1
p100,M,35,English,6,2,balloons,item,a green shirt,color,1
p100,M,35,English,7,0,carrots,nothing,a pink headband,color,1
p100,M,35,English,8,0,dogs,nothing,a green shirt,color,1
p100,M,35,English,9,0,bows,item,a yellow dress,color,1
p100,M,35,English,10,1,bananas,nothing,a red shirt,color,1
p100,M,35,English,11,0,daisies,nothing,a tan shirt,color,1
p100,M,35,English,12,2,cakes,nothing,a purple shirt,color,1
p100,M,35,English,13,3,rainboots,nothing,no boots,no,0
p100,M,35,English,14,0,forks,item,a blue shirt,color,1
p100,M,35,English,15,2,buckets,nothing,a dark pink shirt,color,1
p100,M,35,English,16,2,kites,nothing,blonde hair,color,1
p100,M,35,English,17,1,phones,item,a pink shirt,color,1
p100,M,35,English,18,1,apples,nothing,a blue shirt,color,1
p100,M,35,English,19,0,guitars,item,two acoustic guitars,noun,0
p100,M,35,English,20,0,lollipops,nothing,a blue shirt,color,1
p100,M,35,English,21,1,plants,nothing,a navy blue shirt,color,1
p100,M,35,English,22,3,cookies,nothing,no cookies,no,0
p100,M,35,English,23,3,fish,item,a light blue shirt,color,1
p100,M,35,English,24,3,cars,nothing,a green shirt,color,1
p100,M,35,English,25,3,shovels,item,a yellow shirt,color,1
p100,M,35,English,26,1,crayons,nothing,a red shirt,color,1
p100,M,35,English,27,3,purses,nothing,a purple shirt,color,1
p100,M,35,English,28,1,presents,item,a yellow shirt,color,1
p100,M,35,English,29,1,pencils,item,a dark red shirt,color,1
p100,M,35,English,30,3,flowers,item,a tan shirt,color,1
p100,M,35,English,31,2,ice cream cones,item,black hair,color,1
p100,M,35,English,32,2,keys,nothing,an orangw shirt,color,1
p101,F,55,English,1,1,cakes,nothing,nothing.,nothing,0
p101,F,55,English,2,1,plants,item,two plants,noun,0
p101,F,55,English,3,0,cats,item,two cats,noun,0
p101,F,55,English,4,2,phones,item,two blue cell phones,noun,1
p101,F,55,English,5,2,umbrellas,item,two umbrellas,noun,0
p101,F,55,English,6,1,pencils,item,two pencils,noun,0
p101,F,55,English,7,0,daisies,item,a flower,noun,0
p101,F,55,English,8,3,shovels,nothing,a yellow shirt,color,1
p101,F,55,English,9,3,cars,item,two cars,noun,0
p101,F,55,English,10,0,presents,nothing,a pale yellow shirt,color,1
p101,F,55,English,11,2,balloons,nothing,a green shirt on,color,1
p101,F,55,English,12,1,bows,item,a pale yellow dress on,color,1
p101,F,55,English,13,2,buckets,item,two green buckets,noun,1
p101,F,55,English,14,0,guitars,item,two guitars,noun,0
p101,F,55,English,15,1,flowers,nothing,a spade,othernoun,0
p101,F,55,English,16,3,purses,nothing,a skirt on,clothing,0
p101,F,55,English,17,0,crayons,nothing,a red shirt on,color,1
p101,F,55,English,18,2,kites,nothing,a green shirt on,color,1
p101,F,55,English,19,3,fish,nothing,a blue shirt on,color,1
p101,F,55,English,20,0,ice cream cones,nothing,an orange shirt on,color,1
p101,F,55,English,21,1,forks,nothing,a light blue shirt on,color,1
p101,F,55,English,22,0,mittens,item,blue gloves on,color,1
p101,F,55,English,23,3,rainboots,item,a green dress on,color,1
p101,F,55,English,24,2,carrots,item,two carrots,noun,0
p101,F,55,English,25,2,lollipops,nothing,a light blue shirt on,color,1
p101,F,55,English,26,1,scissors,item,two scissors,noun,0
p101,F,55,English,27,2,bananas,nothing,a red shirt on,color,1
p101,F,55,English,28,3,dogs,item,two dogs,noun,0
p101,F,55,English,29,0,cookies,nothing,a yellow shirt on,color,1
p101,F,55,English,30,1,apples,nothing,a blue shirt on,color,1
p101,F,55,English,31,3,keys,nothing,a red shirt on,color,1
p101,F,55,English,32,3,donuts,item,two pink doughnuts,color,1
p102,F,45,English,1,2,cakes,nothing,no cake,no,0
p102,F,45,English,2,1,pencils,nothing,a red shirt,color,1
p102,F,45,English,3,3,presents,nothing,no presents,no,0
p102,F,45,English,4,0,lollipops,item,two lollipops,noun,0
p102,F,45,English,5,3,bananas,nothing,no bananas,no,0
p102,F,45,English,6,0,balloons,nothing,a green shirt on,color,1
p102,F,45,English,7,0,shovels,item,two shovels,noun,0
p102,F,45,English,8,2,mittens,item,a purple dress on,color,1
p102,F,45,English,9,3,plants,item,a blue shirt on,color,1
p102,F,45,English,10,1,ice cream cones,nothing,black hair,color,1
p102,F,45,English,11,0,fish,nothing,a light blue shirt on,color,1
p102,F,45,English,12,2,daisies,item, an orange shirt on,color,1
p102,F,45,English,13,3,purses,item,a purple shirt on,color,1
p102,F,45,English,14,0,donuts,item,two donuts,noun,0
p102,F,45,English,15,2,dogs,nothing,a green shirt on,color,1
p102,F,45,English,16,2,cats,item,a turquoise dress on,color,1
p102,F,45,English,17,1,guitars,nothing,a green shirt on,color,1
p102,F,45,English,18,2,phones,item,a pink shirt on,color,1
p102,F,45,English,19,1,forks,nothing,black hair.,color,1
p102,F,45,English,20,0,apples,nothing,dark blonde hair.,color,1
p102,F,45,English,21,3,cars,item,a green shirt on,color,1
p102,F,45,English,22,2,flowers,nothing,orange shirt on,color,1
p102,F,45,English,23,0,keys,nothing,black hair,color,1
p102,F,45,English,24,1,crayons,item,a read shirt on,color,1
p102,F,45,English,25,1,buckets,item,a pink dress on,color,1
p102,F,45,English,26,3,kites,nothing,no kites,no,0
