"","subid","gender","age","language","trial.num","context.condition","item","response","correct","rt","text.condition","image.condition"
"1",1,"NA","45","English","1","0","car","TRUE","1","917","positive","item"
"2",1,"NA","45","English","2","3","tiger","TRUE","1","1150","positive","item"
"3",1,"NA","45","English","3","0","chicken","FALSE","0","767","negative","alt"
"4",1,"NA","45","English","4","3","dog","TRUE","1","1415","negative","alt"
"5",1,"NA","45","English","5","1","cat","TRUE","1","1085","negative","alt"
"6",1,"NA","45","English","6","0","fish","TRUE","1","634","positive","item"
"7",1,"NA","45","English","7","0","plate","FALSE","1","768","negative","item"
"8",1,"NA","45","English","8","2","balloon","TRUE","1","1123","negative","alt"
"9",1,"NA","45","English","9","1","key","TRUE","1","520","positive","item"
"10",1,"NA","45","English","10","0","popsicle","TRUE","1","1734","negative","alt"
"11",1,"NA","45","English","11","3","bee","TRUE","1","1150","negative","alt"
"12",1,"NA","45","English","12","3","bus","TRUE","1","951","positive","item"
"13",1,"NA","45","English","13","2","table","FALSE","1","968","negative","item"
"14",1,"NA","45","English","14","1","duck","TRUE","1","785","positive","item"
"15",1,"NA","45","English","15","1","clock","TRUE","1","648","positive","item"
"16",1,"NA","45","English","16","2","bell","TRUE","1","1035","negative","alt"
"17",1,"NA","45","English","17","2","lion","FALSE","1","1350","negative","item"
"18",1,"NA","45","English","18","1","frog","FALSE","1","1034","negative","item"
"19",1,"NA","45","English","19","0","penguin","FALSE","1","725","positive","alt"
"20",1,"NA","45","English","20","2","guitar","FALSE","1","1412","positive","alt"
"21",1,"NA","45","English","21","3","cookie","FALSE","1","801","negative","item"
"22",1,"NA","45","English","22","1","phone","TRUE","1","1317","negative","alt"
"23",1,"NA","45","English","23","1","lamp","FALSE","1","886","positive","alt"
"24",1,"NA","45","English","24","0","monkey","TRUE","1","901","positive","item"
"25",1,"NA","45","English","25","0","flower","FALSE","1","668","positive","alt"
"26",1,"NA","45","English","26","3","giraffe","TRUE","1","901","negative","alt"
"27",1,"NA","45","English","27","2","carrot","FALSE","1","1359","positive","alt"
"28",1,"NA","45","English","28","3","shoe","FALSE","1","702","negative","item"
"29",1,"NA","45","English","29","0","watch","FALSE","1","777","negative","item"
"30",1,"NA","45","English","30","3","paintbrush","TRUE","1","1137","negative","alt"
"31",1,"NA","45","English","31","2","mitten","FALSE","1","1043","positive","alt"
"32",1,"NA","45","English","32","2","strawberry","FALSE","1","817","positive","alt"
"33",1,"NA","45","English","33","1","train","FALSE","1","748","negative","item"
"34",1,"NA","45","English","34","2","bucket","FALSE","1","1618","negative","item"
"35",1,"NA","45","English","35","2","shirt","TRUE","1","685","positive","item"
"36",1,"NA","45","English","36","1","turtle","TRUE","1","1300","negative","alt"
"37",1,"NA","45","English","37","2","pear","FALSE","1","750","negative","item"
"38",1,"NA","45","English","38","3","drum","TRUE","1","651","positive","item"
"39",1,"NA","45","English","39","3","fork","FALSE","1","751","positive","alt"
"40",1,"NA","45","English","40","3","butterfly","FALSE","1","802","positive","alt"
"41",1,"NA","45","English","41","1","pencil","FALSE","1","1199","negative","item"
"42",1,"NA","45","English","42","2","spoon","TRUE","1","651","positive","item"
"43",1,"NA","45","English","43","3","tree","TRUE","1","601","positive","item"
"44",1,"NA","45","English","44","1","sheep","TRUE","1","651","positive","item"
"45",1,"NA","45","English","45","0","plane","TRUE","1","1201","negative","alt"
"46",1,"NA","45","English","46","0","hat","FALSE","1","1168","positive","alt"
"47",1,"NA","45","English","47","3","banana","FALSE","1","1185","negative","item"
"48",1,"NA","45","English","48","1","apple","FALSE","1","1135","positive","alt"
"49",1,"NA","45","English","49","2","cow","TRUE","1","817","positive","item"
"50",1,"NA","45","English","50","3","horse","FALSE","1","783","positive","alt"
"51",1,"NA","45","English","51","2","cake","TRUE","1","1069","positive","item"
"52",1,"NA","45","English","52","3","sock","FALSE","1","865","positive","alt"
"53",1,"NA","45","English","53","3","bike","FALSE","1","1217","negative","item"
"54",1,"NA","45","English","54","1","chair","FALSE","1","1481","negative","item"
"55",1,"NA","45","English","55","2","elephant","TRUE","1","1284","negative","alt"
"56",1,"NA","45","English","56","0","purse","FALSE","1","1205","positive","alt"
"57",1,"NA","45","English","57","0","crayon","TRUE","1","793","positive","item"
"58",1,"NA","45","English","58","0","goat","FALSE","1","1168","negative","item"
"59",1,"NA","45","English","59","1","donut","FALSE","1","1617","positive","alt"
"60",1,"NA","45","English","60","0","house","TRUE","1","1250","negative","alt"
"61",1,"NA","45","English","61","1","toothbrush","TRUE","1","1567","negative","alt"
"62",1,"NA","45","English","62","0","fence","FALSE","1","1333","negative","item"
"63",1,"NA","45","English","63","1","pretzel","FALSE","1","1053","positive","alt"
"64",1,"NA","45","English","64","2","pig","TRUE","1","1101","negative","alt"
"65",2,"NA","35","English","1","0","elephant","FALSE","1","1292","positive","alt"
"66",2,"NA","35","English","2","1","bucket","TRUE","1","2058","negative","alt"
"67",2,"NA","35","English","3","2","crayon","TRUE","0","1911","positive","alt"
"68",2,"NA","35","English","4","2","butterfly","TRUE","1","755","positive","item"
"69",2,"NA","35","English","5","3","car","FALSE","1","1124","negative","item"
"70",2,"NA","35","English","6","3","bike","TRUE","1","1120","positive","item"
"71",2,"NA","35","English","7","0","chair","FALSE","0","964","negative","alt"
"72",2,"NA","35","English","8","1","drum","TRUE","1","863","positive","item"
"73",2,"NA","35","English","9","0","pretzel","TRUE","1","766","positive","item"
"74",2,"NA","35","English","10","1","dog","TRUE","1","1429","negative","alt"
"75",2,"NA","35","English","11","1","plane","FALSE","1","1604","positive","alt"
"76",2,"NA","35","English","12","1","turtle","TRUE","1","984","positive","item"
"77",2,"NA","35","English","13","0","carrot","FALSE","1","1129","positive","alt"
"78",2,"NA","35","English","14","1","horse","TRUE","1","1354","negative","alt"
"79",2,"NA","35","English","15","2","lion","TRUE","1","2167","negative","alt"
"80",2,"NA","35","English","16","3","tree","TRUE","1","1297","negative","alt"
"81",2,"NA","35","English","17","2","paintbrush","FALSE","1","1503","negative","item"
"82",2,"NA","35","English","18","1","tiger","FALSE","1","1331","positive","alt"
"83",2,"NA","35","English","19","3","bus","TRUE","1","1521","positive","item"
"84",2,"NA","35","English","20","0","cow","FALSE","1","891","negative","item"
"85",2,"NA","35","English","21","1","plate","FALSE","1","2859","negative","item"
"86",2,"NA","35","English","22","3","purse","FALSE","1","1906","positive","alt"
"87",2,"NA","35","English","23","2","fence","TRUE","1","779","positive","item"
"88",2,"NA","35","English","24","3","penguin","FALSE","1","1116","negative","item"
"89",2,"NA","35","English","25","3","cat","FALSE","0","1440","negative","alt"
"90",2,"NA","35","English","26","2","flower","TRUE","1","1935","negative","alt"
"91",2,"NA","35","English","27","2","duck","FALSE","1","1739","positive","alt"
"92",2,"NA","35","English","28","3","fish","TRUE","1","716","positive","item"
"93",2,"NA","35","English","29","3","house","FALSE","1","1646","positive","alt"
"94",2,"NA","35","English","30","0","guitar","TRUE","1","1338","negative","alt"
"95",2,"NA","35","English","31","2","cookie","TRUE","1","862","positive","item"
"96",2,"NA","35","English","32","0","table","TRUE","1","697","positive","item"
"97",2,"NA","35","English","33","3","clock","FALSE","1","1409","negative","item"
"98",2,"NA","35","English","34","0","donut","FALSE","1","1614","positive","alt"
"99",2,"NA","35","English","35","2","toothbrush","TRUE","1","1487","negative","alt"
"100",2,"NA","35","English","36","1","pig","FALSE","1","975","positive","alt"
"101",2,"NA","35","English","37","2","giraffe","FALSE","1","1862","negative","item"
"102",2,"NA","35","English","38","2","shirt","FALSE","1","1258","positive","alt"
"103",2,"NA","35","English","39","3","spoon","FALSE","1","1324","positive","alt"
"104",2,"NA","35","English","40","0","banana","FALSE","0","1084","negative","alt"
"105",2,"NA","35","English","41","1","lamp","FALSE","1","1455","negative","item"
"106",2,"NA","35","English","42","3","phone","FALSE","1","1336","positive","alt"
"107",2,"NA","35","English","43","3","sheep","FALSE","0","1160","negative","alt"
"108",2,"NA","35","English","44","3","apple","TRUE","1","1544","negative","alt"
