"","subid","gender","age","language","trial.num","context.condition","item","response","correct","rt","text.condition","image.condition"
"1",1,"NA","55","English","1","8","carrot","FALSE","0","970","negative","alt"
"2",1,"NA","55","English","2","5","strawberry","TRUE","1","1430","positive","item"
"3",1,"NA","55","English","3","6","shirt","FALSE","1","1340","negative","item"
"4",1,"NA","55","English","4","1","bus","FALSE","1","1173","positive","alt"
"5",1,"NA","55","English","5","1","frog","TRUE","1","891","positive","item"
"6",1,"NA","55","English","6","0","fork","TRUE","1","909","positive","item"
"7",1,"NA","55","English","7","6","duck","FALSE","1","924","positive","alt"
"8",1,"NA","55","English","8","8","shoe","FALSE","1","1205","negative","item"
"9",1,"NA","55","English","9","0","crayon","FALSE","1","1304","positive","alt"
"10",1,"NA","55","English","10","8","pig","TRUE","1","596","positive","item"
"11",1,"NA","55","English","11","1","guitar","TRUE","1","1088","negative","alt"
"12",1,"NA","55","English","12","2","cake","FALSE","1","1371","negative","item"
"13",1,"NA","55","English","13","5","horse","FALSE","1","1319","positive","alt"
"14",1,"NA","55","English","14","2","lion","TRUE","1","889","positive","item"
"15",1,"NA","55","English","15","5","phone","TRUE","1","1401","negative","alt"
"16",1,"NA","55","English","16","1","cow","FALSE","1","963","negative","item"
"17",1,"NA","55","English","17","5","apple","FALSE","1","960","negative","item"
"18",1,"NA","55","English","18","2","car","TRUE","1","1024","negative","alt"
"19",1,"NA","55","English","19","6","turtle","TRUE","1","848","negative","alt"
"20",1,"NA","55","English","20","3","purse","TRUE","1","918","negative","alt"
"21",1,"NA","55","English","21","3","popsicle","FALSE","1","1062","negative","item"
"22",1,"NA","55","English","22","4","cat","FALSE","1","837","negative","item"
"23",1,"NA","55","English","23","7","mitten","TRUE","1","1747","negative","alt"
"24",1,"NA","55","English","24","2","bike","FALSE","1","1147","positive","alt"
"25",1,"NA","55","English","25","4","banana","TRUE","1","1046","negative","alt"
"26",1,"NA","55","English","26","0","fish","FALSE","1","1003","negative","item"
"27",1,"NA","55","English","27","4","tree","FALSE","1","1104","positive","alt"
"28",1,"NA","55","English","28","3","flower","FALSE","1","1366","positive","alt"
"29",1,"NA","55","English","29","3","donut","TRUE","1","884","positive","item"
"30",1,"NA","55","English","30","7","balloon","FALSE","1","905","positive","alt"
"31",1,"NA","55","English","31","6","dog","TRUE","1","1076","positive","item"
"32",1,"NA","55","English","32","7","elephant","TRUE","1","660","positive","item"
"33",1,"NA","55","English","33","0","cookie","TRUE","1","1655","negative","alt"
"34",1,"NA","55","English","34","4","pencil","TRUE","1","1353","positive","item"
"35",1,"NA","55","English","35","7","bucket","FALSE","1","917","negative","item"
"36",1,"NA","55","English","36","8","key","FALSE","1","1375","positive","alt"
"37",2,"NA","35","english","1","4","lion","FALSE","1","1148","positive","alt"
"38",2,"NA","35","english","2","2","elephant","TRUE","1","1970","positive","item"
"39",2,"NA","35","english","3","7","key","FALSE","1","3199","negative","item"
"40",2,"NA","35","english","4","5","bucket","TRUE","1","1038","positive","item"
"41",2,"NA","35","english","5","7","cookie","TRUE","1","7032","negative","alt"
"42",2,"NA","35","english","6","0","duck","FALSE","1","901","positive","alt"
"43",2,"NA","35","english","7","8","balloon","TRUE","1","1445","positive","item"
"44",2,"NA","35","english","8","1","cake","TRUE","1","1828","negative","alt"
"45",2,"NA","35","english","9","1","horse","FALSE","1","796","positive","alt"
"46",2,"NA","35","english","10","6","strawberry","TRUE","1","1123","positive","item"
"47",2,"NA","35","english","11","6","bus","TRUE","1","1830","negative","alt"
"48",2,"NA","35","english","12","4","frog","TRUE","1","1344","negative","alt"
"49",2,"NA","35","english","13","3","shoe","TRUE","1","554","positive","item"
"50",2,"NA","35","english","14","3","carrot","FALSE","1","1092","positive","alt"
