"","context","trial.type","sentence.type","m.cih","m.cil","m"
"1","0/4","nothing","Negative",0.0339622641509434,0.0122641509433962,0.0226415094339623
"2","0/4","nothing","Positive",0.0245283018867925,0.00754716981132075,0.0150943396226415
"3","1/4","item","Negative",0.00469924812030075,0,0.0018796992481203
"4","1/4","item","Positive",0.990601503759398,0.972744360902256,0.982142857142857
"5","1/4","nothing","Negative",0.471698113207547,0.374504716981132,0.421698113207547
"6","1/4","nothing","Positive",0.0330188679245283,0.00943396226415094,0.019811320754717
"7","2/4","item","Negative",0.00660377358490566,0,0.00283018867924528
"8","2/4","item","Positive",0.983018867924528,0.962240566037736,0.972641509433962
"9","2/4","nothing","Negative",0.54622641509434,0.45186320754717,0.500943396226415
"10","2/4","nothing","Positive",0.0292452830188679,0.00471698113207547,0.0150943396226415
"11","3/4","item","Negative",0.00660377358490566,0,0.00283018867924528
"12","3/4","item","Positive",0.976415094339623,0.950943396226415,0.964150943396226
"13","3/4","nothing","Negative",0.604740566037736,0.506580188679245,0.557547169811321
"14","3/4","nothing","Positive",0.0264150943396226,0.00471698113207547,0.0141509433962264
"15","4/4","item","Negative",0.00471698113207547,0,0.00188679245283019
"16","4/4","item","Positive",0.933962264150943,0.890566037735849,0.912264150943396
