"","subid","age","language","trial.num","context.condition","item","response","correct","rt","text.condition","image.condition"
"1",279,"35","English",1,0,"kites",TRUE,1,765,"positive","item"
"2",279,"35","English",2,0,"rainboots",TRUE,1,818,"positive","item"
"3",279,"35","English",3,3,"donuts",FALSE,1,566,"negative","item"
"4",279,"35","English",4,1,"dogs",TRUE,1,951,"negative","nothing"
"5",279,"35","English",5,2,"crayons",TRUE,1,826,"positive","item"
"6",279,"35","English",6,0,"shovels",FALSE,1,697,"positive","nothing"
"7",279,"35","English",7,3,"fish",FALSE,1,602,"negative","item"
"8",279,"35","English",8,1,"ice cream cones",FALSE,1,1075,"negative","item"
"9",279,"35","English",9,3,"cookies",TRUE,1,602,"negative","nothing"
"10",279,"35","English",10,1,"cars",FALSE,1,541,"negative","item"
"11",279,"35","English",11,3,"presents",FALSE,1,721,"positive","nothing"
"12",279,"35","English",12,3,"guitars",FALSE,0,559,"negative","nothing"
"13",279,"35","English",13,2,"scissors",FALSE,0,767,"negative","nothing"
"14",279,"35","English",14,1,"apples",FALSE,1,836,"positive","nothing"
"15",279,"35","English",15,2,"plants",FALSE,1,790,"negative","item"
"16",279,"35","English",16,3,"bananas",TRUE,1,504,"positive","item"
"17",279,"35","English",17,1,"purses",FALSE,1,1086,"positive","nothing"
"18",279,"35","English",18,0,"daisies",FALSE,0,652,"negative","nothing"
"19",279,"35","English",19,0,"lollipops",FALSE,1,818,"positive","nothing"
"20",279,"35","English",20,2,"keys",TRUE,1,491,"positive","item"
"21",279,"35","English",21,0,"mittens",FALSE,1,874,"negative","item"
"22",279,"35","English",22,0,"pencils",FALSE,1,708,"negative","item"
"23",279,"35","English",23,2,"cakes",FALSE,1,502,"negative","item"
"24",279,"35","English",24,0,"balloons",TRUE,1,859,"negative","nothing"
"25",279,"35","English",25,2,"forks",FALSE,1,1002,"positive","nothing"
"26",279,"35","English",26,1,"phones",TRUE,1,605,"positive","item"
"27",279,"35","English",27,3,"bows",TRUE,1,806,"positive","item"
"28",279,"35","English",28,2,"carrots",FALSE,1,1570,"positive","nothing"
"29",279,"35","English",29,3,"umbrellas",FALSE,1,817,"positive","nothing"
"30",279,"35","English",30,1,"flowers",TRUE,1,604,"negative","nothing"
"31",279,"35","English",31,1,"cats",TRUE,1,615,"positive","item"
"32",279,"35","English",32,2,"buckets",TRUE,1,1021,"negative","nothing"
"33",483,"45","English",1,1,"carrots",FALSE,1,1374,"negative","item"
"34",483,"45","English",2,0,"rainboots",TRUE,1,849,"positive","item"
"35",483,"45","English",3,2,"mittens",TRUE,1,1618,"negative","nothing"
"36",483,"45","English",4,2,"phones",TRUE,1,1050,"positive","item"
"37",483,"45","English",5,3,"apples",TRUE,1,784,"positive","item"
"38",483,"45","English",6,3,"dogs",TRUE,1,782,"negative","nothing"
"39",483,"45","English",7,1,"keys",FALSE,1,1130,"negative","item"
"40",483,"45","English",8,3,"crayons",FALSE,1,1039,"positive","nothing"
"41",483,"45","English",9,0,"guitars",FALSE,1,1451,"positive","nothing"
"42",483,"45","English",10,3,"presents",FALSE,1,1113,"negative","item"
"43",483,"45","English",11,2,"bows",TRUE,1,1808,"positive","item"
"44",483,"45","English",12,2,"umbrellas",TRUE,1,1032,"negative","nothing"
"45",483,"45","English",13,0,"flowers",FALSE,1,1485,"positive","nothing"
"46",483,"45","English",14,2,"lollipops",FALSE,1,1078,"positive","nothing"
"47",483,"45","English",15,0,"cars",FALSE,0,2323,"negative","nothing"
"48",483,"45","English",16,2,"shovels",FALSE,1,1969,"negative","item"
"49",483,"45","English",17,1,"fish",TRUE,1,1345,"positive","item"
"50",483,"45","English",18,2,"forks",FALSE,1,1351,"negative","item"
"51",483,"45","English",19,0,"plants",TRUE,1,827,"positive","item"
"52",483,"45","English",20,0,"daisies",FALSE,1,1202,"negative","item"
"53",483,"45","English",21,0,"kites",FALSE,1,985,"negative","item"
"54",483,"45","English",22,1,"buckets",TRUE,1,1255,"positive","item"
"55",483,"45","English",23,2,"bananas",FALSE,1,1276,"positive","nothing"
"56",483,"45","English",24,1,"cookies",TRUE,1,1360,"negative","nothing"
"57",483,"45","English",25,3,"balloons",FALSE,1,1742,"negative","item"
"58",483,"45","English",26,3,"cakes",TRUE,1,1694,"negative","nothing"
"59",483,"45","English",27,0,"cats",TRUE,1,1756,"negative","nothing"
"60",483,"45","English",28,1,"scissors",FALSE,1,1294,"positive","nothing"
"61",483,"45","English",29,3,"pencils",FALSE,1,1802,"positive","nothing"
"62",483,"45","English",30,3,"purses",TRUE,1,1626,"positive","item"
"63",483,"45","English",31,1,"donuts",FALSE,1,1351,"positive","nothing"
"64",483,"45","English",32,1,"ice cream cones",TRUE,1,928,"negative","nothing"
"65",89,"66","English",1,3,"ice cream cones",TRUE,1,2573,"positive","item"
"66",89,"66","English",2,0,"carrots",FALSE,1,2326,"positive","nothing"
"67",89,"66","English",3,2,"pencils",TRUE,1,1314,"negative","nothing"
"68",89,"66","English",4,1,"flowers",FALSE,1,1831,"positive","nothing"
"69",89,"66","English",5,1,"crayons",TRUE,1,1530,"positive","item"
"70",89,"66","English",6,0,"bananas",TRUE,1,1452,"negative","nothing"
"71",89,"66","English",7,2,"bows",FALSE,1,1620,"negative","item"
"72",89,"66","English",8,1,"keys",FALSE,1,940,"negative","item"
"73",89,"66","English",9,2,"fish",FALSE,0,1042,"negative","nothing"
"74",89,"66","English",10,2,"rainboots",FALSE,1,1759,"positive","nothing"
"75",89,"66","English",11,0,"phones",TRUE,1,3892,"negative","nothing"
"76",89,"66","English",12,1,"plants",FALSE,1,2832,"positive","nothing"
"77",89,"66","English",13,0,"scissors",TRUE,1,1209,"positive","item"
"78",89,"66","English",14,2,"donuts",FALSE,1,1892,"negative","item"
"79",89,"66","English",15,3,"forks",FALSE,1,1383,"negative","item"
"80",89,"66","English",16,3,"presents",FALSE,1,1767,"negative","item"
"81",89,"66","English",17,3,"daisies",TRUE,1,971,"negative","nothing"
"82",89,"66","English",18,1,"cookies",FALSE,1,1171,"negative","item"
"83",89,"66","English",19,3,"kites",FALSE,1,1375,"positive","nothing"
"84",89,"66","English",20,2,"buckets",TRUE,1,1063,"positive","item"
"85",89,"66","English",21,1,"guitars",TRUE,1,1583,"negative","nothing"
"86",89,"66","English",22,3,"dogs",TRUE,1,2249,"negative","nothing"
"87",89,"66","English",23,1,"balloons",TRUE,1,1505,"negative","nothing"
"88",89,"66","English",24,2,"lollipops",TRUE,1,1074,"positive","item"
"89",89,"66","English",25,0,"apples",TRUE,1,1123,"positive","item"
"90",89,"66","English",26,0,"mittens",FALSE,1,3555,"positive","nothing"
"91",89,"66","English",27,0,"cars",FALSE,1,947,"negative","item"
"92",89,"66","English",28,3,"umbrellas",TRUE,1,3997,"positive","item"
"93",89,"66","English",29,1,"shovels",TRUE,1,903,"positive","item"
"94",89,"66","English",30,2,"cats",FALSE,1,1209,"positive","nothing"
"95",89,"66","English",31,0,"cakes",FALSE,1,1147,"negative","item"
"96",89,"66","English",32,3,"purses",FALSE,1,3063,"positive","nothing"
"97",117,"25","English",1,0,"buckets",TRUE,1,1381,"positive","item"
"98",117,"25","English",2,2,"shovels",TRUE,1,1043,"negative","nothing"
"99",117,"25","English",3,1,"crayons",FALSE,1,685,"positive","nothing"
"100",117,"25","English",4,0,"umbrellas",FALSE,1,829,"positive","nothing"
"101",117,"25","English",5,3,"lollipops",FALSE,1,617,"negative","item"
"102",117,"25","English",6,1,"keys",FALSE,1,609,"positive","nothing"
"103",117,"25","English",7,2,"cookies",TRUE,1,565,"positive","item"
"104",117,"25","English",8,0,"donuts",TRUE,1,1029,"negative","nothing"
"105",117,"25","English",9,2,"carrots",TRUE,1,610,"positive","item"
"106",117,"25","English",10,3,"purses",TRUE,1,568,"positive","item"
"107",117,"25","English",11,0,"kites",FALSE,1,539,"negative","item"
"108",117,"25","English",12,3,"dogs",FALSE,1,700,"positive","nothing"
"109",117,"25","English",13,2,"scissors",FALSE,1,1211,"positive","nothing"
"110",117,"25","English",14,2,"cars",FALSE,1,442,"positive","nothing"
"111",117,"25","English",15,3,"plants",TRUE,1,683,"negative","nothing"
"112",117,"25","English",16,2,"forks",FALSE,1,1235,"negative","item"
"113",117,"25","English",17,2,"apples",FALSE,1,557,"negative","item"
"114",117,"25","English",18,0,"flowers",TRUE,1,1593,"negative","nothing"
"115",117,"25","English",19,3,"balloons",FALSE,1,1555,"negative","item"
"116",117,"25","English",20,2,"pencils",TRUE,1,614,"negative","nothing"
"117",117,"25","English",21,3,"rainboots",FALSE,1,537,"positive","nothing"
"118",117,"25","English",22,1,"presents",TRUE,1,486,"positive","item"
"119",117,"25","English",23,3,"fish",TRUE,1,562,"positive","item"
"120",117,"25","English",24,1,"cats",TRUE,1,460,"negative","nothing"
"121",117,"25","English",25,1,"bows",TRUE,0,694,"negative","item"
"122",117,"25","English",26,0,"phones",TRUE,1,1297,"positive","item"
"123",117,"25","English",27,0,"guitars",FALSE,1,855,"negative","item"
"124",117,"25","English",28,0,"cakes",FALSE,1,1124,"positive","nothing"
"125",117,"25","English",29,1,"mittens",TRUE,1,812,"positive","item"
"126",117,"25","English",30,1,"bananas",TRUE,1,609,"negative","nothing"
"127",117,"25","English",31,1,"ice cream cones",FALSE,1,696,"negative","item"
"128",117,"25","English",32,3,"daisies",TRUE,1,1250,"negative","nothing"
"129",372,"35","English",1,2,"buckets",FALSE,1,834,"negative","item"
"130",372,"35","English",2,0,"fish",FALSE,1,968,"positive","nothing"
"131",372,"35","English",3,2,"keys",FALSE,1,767,"positive","nothing"
"132",372,"35","English",4,0,"donuts",FALSE,0,2251,"negative","nothing"
"133",372,"35","English",5,2,"mittens",TRUE,1,1251,"positive","item"
"134",372,"35","English",6,2,"rainboots",TRUE,1,1095,"negative","nothing"
"135",372,"35","English",7,2,"apples",TRUE,1,944,"negative","nothing"
"136",372,"35","English",8,2,"cakes",TRUE,1,689,"positive","item"
"137",372,"35","English",9,1,"forks",TRUE,1,1173,"positive","item"
"138",372,"35","English",10,1,"daisies",FALSE,1,820,"negative","item"
"139",372,"35","English",11,3,"plants",TRUE,1,892,"negative","nothing"
"140",372,"35","English",12,3,"kites",TRUE,1,767,"negative","nothing"
"141",372,"35","English",13,0,"bows",FALSE,1,1125,"positive","nothing"
"142",372,"35","English",14,0,"carrots",TRUE,1,580,"positive","item"
"143",372,"35","English",15,1,"cookies",FALSE,1,1110,"negative","item"
"144",372,"35","English",16,0,"pencils",TRUE,1,672,"positive","item"
"145",372,"35","English",17,2,"umbrellas",FALSE,1,845,"positive","nothing"
"146",372,"35","English",18,0,"ice cream cones",FALSE,1,1017,"negative","item"
"147",372,"35","English",19,0,"phones",TRUE,1,1361,"negative","nothing"
"148",372,"35","English",20,3,"scissors",FALSE,1,816,"positive","nothing"
"149",372,"35","English",21,1,"flowers",TRUE,1,845,"negative","nothing"
"150",372,"35","English",22,1,"purses",FALSE,1,640,"positive","nothing"
"151",372,"35","English",23,3,"cats",FALSE,1,985,"positive","nothing"
"152",372,"35","English",24,0,"presents",FALSE,1,985,"negative","item"
"153",372,"35","English",25,3,"shovels",FALSE,1,1219,"negative","item"
"154",372,"35","English",26,1,"guitars",TRUE,1,581,"positive","item"
"155",372,"35","English",27,1,"cars",FALSE,1,845,"positive","nothing"
"156",372,"35","English",28,2,"dogs",FALSE,1,719,"negative","item"
"157",372,"35","English",29,3,"balloons",TRUE,1,812,"positive","item"
"158",372,"35","English",30,3,"crayons",FALSE,1,787,"negative","item"
"159",372,"35","English",31,3,"lollipops",TRUE,1,704,"positive","item"
"160",372,"35","English",32,1,"bananas",TRUE,1,923,"negative","nothing"
"161",296,"35","English",1,1,"cats",TRUE,1,852,"positive","item"
"162",296,"35","English",2,3,"bows",TRUE,1,1320,"negative","nothing"
"163",296,"35","English",3,3,"fish",FALSE,1,1045,"negative","item"
"164",296,"35","English",4,2,"rainboots",TRUE,0,1127,"negative","item"
"165",296,"35","English",5,3,"carrots",FALSE,1,1315,"positive","nothing"
"166",296,"35","English",6,1,"guitars",FALSE,1,821,"positive","nothing"
"167",296,"35","English",7,2,"kites",TRUE,1,1456,"positive","item"
"168",296,"35","English",8,0,"phones",FALSE,1,4737,"negative","item"
"169",296,"35","English",9,3,"cars",TRUE,1,1246,"positive","item"
"170",296,"35","English",10,2,"flowers",TRUE,0,2070,"positive","nothing"
"171",296,"35","English",11,0,"plants",TRUE,1,806,"positive","item"
"172",296,"35","English",12,0,"ice cream cones",TRUE,0,3091,"positive","nothing"
